Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground,Start Date,_1
Azmatullah Omarzai (AFG),sub,-,-,-,-,1,v Pakistan,Sharjah,3/27/2023,
BFW de Leede (NED),sub,-,-,-,-,2,v Pakistan,Perth,10/30/2022,
JAH Marshall (NZ),sub,-,-,-,-,1,v South Africa,Johannesburg,10/21/2005,
DJ Mitchell (NZ),DNB,-,-,-,-,1,v Pakistan,Wellington,3/26/2025,
MG Bracewell (NZ),DNB,-,-,-,-,1,v Pakistan,Wellington,3/26/2025,
FH Allen (NZ),DNB,-,-,-,-,1,v Pakistan,Wellington,3/26/2025,
MS Chapman (NZ),DNB,-,-,-,-,1,v Pakistan,Wellington,3/26/2025,
MJ Hay (NZ),DNB,-,-,-,-,1,v Pakistan,Wellington,3/26/2025,
TL Seifert (NZ),DNB,-,-,-,-,1,v Pakistan,Wellington,3/26/2025,
Agha Salman (PAK),DNB,-,-,-,-,2,v New Zealand,Wellington,3/26/2025,
Mohammad Haris (PAK),DNB,-,-,-,-,2,v New Zealand,Wellington,3/26/2025,
Usman Khan (PAK),DNB,-,-,-,-,2,v New Zealand,Wellington,3/26/2025,
Omair Yousuf (PAK),DNB,-,-,-,-,2,v New Zealand,Wellington,3/26/2025,
Abdul Samad (PAK),DNB,-,-,-,-,2,v New Zealand,Wellington,3/26/2025,
Hasan Nawaz (PAK),DNB,-,-,-,-,2,v New Zealand,Wellington,3/26/2025,
Mohammad Haris (PAK),DNB,-,-,-,-,1,v New Zealand,Mount Maunganui,3/23/2025,
Agha Salman (PAK),DNB,-,-,-,-,1,v New Zealand,Mount Maunganui,3/23/2025,
Abdul Samad (PAK),DNB,-,-,-,-,1,v New Zealand,Mount Maunganui,3/23/2025,
Hasan Nawaz (PAK),DNB,-,-,-,-,1,v New Zealand,Mount Maunganui,3/23/2025,
Irfan Khan (PAK),DNB,-,-,-,-,1,v New Zealand,Mount Maunganui,3/23/2025,
TL Seifert (NZ),DNB,-,-,-,-,2,v Pakistan,Mount Maunganui,3/23/2025,
DJ Mitchell (NZ),DNB,-,-,-,-,2,v Pakistan,Mount Maunganui,3/23/2025,
MG Bracewell (NZ),DNB,-,-,-,-,2,v Pakistan,Mount Maunganui,3/23/2025,
FH Allen (NZ),DNB,-,-,-,-,2,v Pakistan,Mount Maunganui,3/23/2025,
MS Chapman (NZ),DNB,-,-,-,-,2,v Pakistan,Mount Maunganui,3/23/2025,
MJ Hay (NZ),DNB,-,-,-,-,2,v Pakistan,Mount Maunganui,3/23/2025,
Hasan Nawaz (PAK),DNB,-,-,-,-,1,v New Zealand,Auckland,3/21/2025,
Irfan Khan (PAK),DNB,-,-,-,-,1,v New Zealand,Auckland,3/21/2025,
Mohammad Haris (PAK),DNB,-,-,-,-,1,v New Zealand,Auckland,3/21/2025,
Abdul Samad (PAK),DNB,-,-,-,-,1,v New Zealand,Auckland,3/21/2025,
TL Seifert (NZ),DNB,-,-,-,-,2,v Pakistan,Auckland,3/21/2025,
MS Chapman (NZ),DNB,-,-,-,-,2,v Pakistan,Auckland,3/21/2025,
MJ Hay (NZ),DNB,-,-,-,-,2,v Pakistan,Auckland,3/21/2025,
FH Allen (NZ),DNB,-,-,-,-,2,v Pakistan,Auckland,3/21/2025,
DJ Mitchell (NZ),DNB,-,-,-,-,2,v Pakistan,Auckland,3/21/2025,
DJ Mitchell (NZ),DNB,-,-,-,-,1,v Pakistan,Dunedin,3/18/2025,
FH Allen (NZ),DNB,-,-,-,-,1,v Pakistan,Dunedin,3/18/2025,
MS Chapman (NZ),DNB,-,-,-,-,1,v Pakistan,Dunedin,3/18/2025,
MJ Hay (NZ),DNB,-,-,-,-,1,v Pakistan,Dunedin,3/18/2025,
TL Seifert (NZ),DNB,-,-,-,-,1,v Pakistan,Dunedin,3/18/2025,
Hasan Nawaz (PAK),DNB,-,-,-,-,2,v New Zealand,Dunedin,3/18/2025,
Agha Salman (PAK),DNB,-,-,-,-,2,v New Zealand,Dunedin,3/18/2025,
Irfan Khan (PAK),DNB,-,-,-,-,2,v New Zealand,Dunedin,3/18/2025,
Mohammad Haris (PAK),DNB,-,-,-,-,2,v New Zealand,Dunedin,3/18/2025,
Abdul Samad (PAK),DNB,-,-,-,-,2,v New Zealand,Dunedin,3/18/2025,
TB Robinson (NZ),DNB,-,-,-,-,1,v Pakistan,Christchurch,3/16/2025,
DJ Mitchell (NZ),DNB,-,-,-,-,1,v Pakistan,Christchurch,3/16/2025,
TL Seifert (NZ),DNB,-,-,-,-,1,v Pakistan,Christchurch,3/16/2025,
MS Chapman (NZ),DNB,-,-,-,-,1,v Pakistan,Christchurch,3/16/2025,
MJ Hay (NZ),DNB,-,-,-,-,1,v Pakistan,Christchurch,3/16/2025,
FH Allen (NZ),DNB,-,-,-,-,1,v Pakistan,Christchurch,3/16/2025,
Mohammad Haris (PAK),DNB,-,-,-,-,2,v New Zealand,Christchurch,3/16/2025,
Hasan Nawaz (PAK),DNB,-,-,-,-,2,v New Zealand,Christchurch,3/16/2025,
Agha Salman (PAK),DNB,-,-,-,-,2,v New Zealand,Christchurch,3/16/2025,
Irfan Khan (PAK),DNB,-,-,-,-,2,v New Zealand,Christchurch,3/16/2025,
Abdul Samad (PAK),DNB,-,-,-,-,2,v New Zealand,Christchurch,3/16/2025,
Khushdil Shah (PAK),DNB,-,-,-,-,2,v New Zealand,Christchurch,3/16/2025,
LJ Tucker (IRE),DNB,-,-,-,-,1,v Zimbabwe,Harare,2/25/2025,
TH Tector (IRE),DNB,-,-,-,-,1,v Zimbabwe,Harare,2/25/2025,
PR Stirling (IRE),DNB,-,-,-,-,1,v Zimbabwe,Harare,2/25/2025,
GH Dockrell (IRE),DNB,-,-,-,-,1,v Zimbabwe,Harare,2/25/2025,
