Team,Opposition,Span,Mat,Won,Lost,Draw,Tied,Tie+W,Tie+L,NR,W/L,%W,%L,%D,%
Sri Lanka,v Afghanistan,2016-2024,8,5,3,0,0,0,0,0,1.666,62.5,37.5,-,62.5
Sri Lanka,v Australia,2007-2022,26,10,15,0,0,0,1,0,0.666,38.46,57.69,-,40.38
Sri Lanka,v Bangladesh,2007-2024,17,11,6,0,0,0,0,0,1.833,64.7,35.29,-,64.7
Sri Lanka,v Canada,2008-2008,1,1,0,0,0,0,0,0,-,100,-,-,100
Sri Lanka,v England,2006-2022,14,4,10,0,0,0,0,0,0.4,28.57,71.42,-,28.57
Sri Lanka,v India,2009-2024,32,9,21,0,0,0,1,1,0.428,28.12,65.62,-,30.64
Sri Lanka,v Ireland,2009-2022,3,3,0,0,0,0,0,0,-,100,-,-,100
Sri Lanka,v Kenya,2007-2007,1,1,0,0,0,0,0,0,-,100,-,-,100
Sri Lanka,v Namibia,2021-2022,2,1,1,0,0,0,0,0,1,50,50,-,50
Sri Lanka,v Netherlands,2014-2024,4,4,0,0,0,0,0,0,-,100,-,-,100
Sri Lanka,v New Zealand,2006-2025,28,9,16,0,0,2,0,1,0.562,32.14,57.14,-,37.03
Sri Lanka,v Pakistan,2007-2022,23,10,13,0,0,0,0,0,0.769,43.47,56.52,-,43.47
Sri Lanka,v South Africa,2012-2024,18,5,12,0,0,0,1,0,0.416,27.77,66.66,-,30.55
Sri Lanka,v United Arab Emirates,2016-2022,2,2,0,0,0,0,0,0,-,100,-,-,100
Sri Lanka,v West Indies,2009-2024,18,10,8,0,0,0,0,0,1.25,55.55,44.44,-,55.55
Sri Lanka,v Zimbabwe,2008-2024,6,5,1,0,0,0,0,0,5,83.33,16.66,-,83.33
