Result summary,,,,,,,,,,,,,,
Team,Span,Mat,Won,Lost,Draw,Tied,Tie+W,Tie+L,NR,W/L,%W,%L,%D,%
Afghanistan,2010-2024,141,86,52,0,0,0,2,1,1.653,60.99,36.87,-,62.14
Argentina,2019-2024,28,16,12,0,0,0,0,0,1.333,57.14,42.85,-,57.14
Australia,2005-2024,203,112,84,0,0,1,2,4,1.333,55.17,41.37,-,57.03
Austria,2019-2025,52,29,21,0,0,0,0,2,1.38,55.76,40.38,-,58
Bahamas,2021-2025,27,9,18,0,0,0,0,0,0.5,33.33,66.66,-,33.33
Bahrain,2019-2025,85,44,36,0,0,2,1,2,1.222,51.76,42.35,-,54.81
Bangladesh,2006-2024,182,71,107,0,0,0,0,4,0.663,39.01,58.79,-,39.88
Belgium,2019-2024,44,25,18,0,0,0,1,0,1.388,56.81,40.9,-,57.95
Belize,2019-2024,17,7,10,0,0,0,0,0,0.7,41.17,58.82,-,41.17
Bermuda,2008-2025,45,28,16,0,0,0,0,1,1.75,62.22,35.55,-,63.63
Bhutan,2019-2024,32,10,22,0,0,0,0,0,0.454,31.25,68.75,-,31.25
Botswana,2019-2024,53,21,31,0,0,0,0,1,0.677,39.62,58.49,-,40.38
Brazil,2019-2024,13,4,9,0,0,0,0,0,0.444,30.76,69.23,-,30.76
Bulgaria,2019-2024,51,15,33,0,0,0,0,3,0.454,29.41,64.7,-,31.25
Cambodia,2023-2024,28,11,17,0,0,0,0,0,0.647,39.28,60.71,-,39.28
Cameroon,2021-2024,22,3,18,0,0,0,0,1,0.166,13.63,81.81,-,14.28
Canada,2008-2025,78,40,34,0,0,0,2,2,1.176,51.28,43.58,-,53.94
Cayman Islands,2019-2025,32,16,16,0,0,0,0,0,1,50,50,-,50
Chile,2019-2023,6,1,5,0,0,0,0,0,0.2,16.66,83.33,-,16.66
China,2023-2024,11,2,9,0,0,0,0,0,0.222,18.18,81.81,-,18.18
Cook Islands,2022-2024,12,7,5,0,0,0,0,0,1.4,58.33,41.66,-,58.33
